idCity,name,uf,idState
3812,Pinheiral,RJ,21
3813,Pinheirinho do Vale,RS,23
3814,Pinheiro,MA,9
3815,Pinheiro Machado,RS,23
3816,Pinheiro Preto,SC,25
3817,Pinheiros,ES,7
3818,Pintadas,BA,4
3819,Pinto Bandeira,RS,23
3820,Pintópolis,MG,12
3821,Pio IX,PI,17
3822,Pio XII,MA,9
3823,Piquerobi,SP,26
3824,Piquet Carneiro,CE,5
3825,Piquete,SP,26
3826,Piracaia,SP,26
3827,Piracanjuba,GO,8
3828,Piracema,MG,12
3829,Piracicaba,SP,26
3830,Piracuruca,PI,17
3831,Piraí,RJ,21
3832,Piraí do Norte,BA,4
3833,Piraí do Sul,PR,18
3834,Piraju,SP,26
3835,Pirajuba,MG,12
3836,Pirajuí,SP,26
3837,Pirambu,SE,25
3838,Piranga,MG,12
3839,Pirangi,SP,26
3840,Piranguçu,MG,12
3841,Piranguinho,MG,12
3842,Piranhas,AL,1
3843,Piranhas,GO,8
3844,Pirapemas,MA,9
3845,Pirapetinga,MG,12
3846,Pirapó,RS,23
3847,Pirapora,MG,12
3848,Pirapora do Bom Jesus,SP,26
3849,Pirapozinho,SP,26
3850,Piraquara,PR,18
3851,Piraquê,TO,26
3852,Pirassununga,SP,26
3853,Piratini,RS,23
3854,Piratininga,SP,26
3855,Piratuba,SC,25
3856,Piraúba,MG,12
3857,Pirenópolis,GO,8
3858,Pires do Rio,GO,8
3859,Pires Ferreira,CE,5
3860,Piripá,BA,4
3861,Piripiri,PI,17
3862,Piritiba,BA,4
3863,Pirpirituba,PB,16
3864,Pitanga,PR,18
3865,Pitangueiras,SP,26
3866,Pitangueiras,PR,18
3867,Pitangui,MG,12
3868,Pitimbu,PB,16
3869,Pium,TO,26
3870,Piúma,ES,7
3871,Piumhi,MG,12
3872,Placas,PA,13
3873,Plácido de Castro,AC,1
3874,Planaltina,GO,8
3875,Planaltina do Paraná,PR,18
3876,Planaltino,BA,4
3877,Planalto,BA,4
3878,Planalto,SP,26
3879,Planalto,PR,18
3880,Planalto,RS,23
3881,Planalto Alegre,SC,25
3882,Planalto da Serra,MT,13
3883,Planura,MG,12
3884,Platina,SP,26
3885,Poá,SP,26
3886,Poção,PE,16
3887,Poção de Pedras,MA,9
3888,Pocinhos,PB,16
3889,Poço Branco,RN,21
3890,Poço Dantas,PB,16
3891,Poço das Antas,RS,23
3892,Poço das Trincheiras,AL,1
3893,Poço de José de Moura,PB,16
3894,Poço Fundo,MG,12
3895,Poço Redondo,SE,25
3896,Poço Verde,SE,25
3897,Poções,BA,4
3898,Poconé,MT,13
3899,Poços de Caldas,MG,12
3900,Pocrane,MG,12
3901,Pojuca,BA,4
3902,Poloni,SP,26
3903,Pombal,PB,16
3904,Pombos,PE,16
3905,Pomerode,SC,25
3906,Pompéia,SP,26
3907,Pompéu,MG,12
3908,Pongaí,SP,26
3909,Ponta de Pedras,PA,13
3910,Ponta Grossa,PR,18
3911,Ponta Porã,MS,13
3912,Pontal,SP,26
3913,Pontal do Araguaia,MT,13
3914,Pontal do Paraná,PR,18
3915,Pontalina,GO,8
3916,Pontalinda,SP,26
3917,Pontão,RS,23
3918,Ponte Alta,SC,25
3919,Ponte Alta do Bom Jesus,TO,26
3920,Ponte Alta do Norte,SC,25
